0	1
ㄱ	5
ㄴ	4
ㄷ	3
ㄹ	2
ㅁ	1
ㅂ	2
ㅅ	5
ㅈ	5
ㅣ	1
가능	12
가량	1
가방	1
가요	3
가입	5
가족	1
가죽	1
각성	1
각인	3
각종	1
감사	1
강	1
강제	2
강추	1
강화	5
개	11
개꿀	3
개똥	1
개발	1
개발자	1
개선	8
개속	1
개인	4
개임	1
개정	1
개지	1
개판	4
갠	1
갤럭시	1
갬	1
거기	1
거대	1
거래	1
거림	1
거지	2
건	2
검사	1
검색	1
겉	2
게스트	2
게이밍	1
게임	150
게임즈	1
겜	47
겨	4
결과	2
결국	4
결말	1
결제	7
경매장	1
경우	5
경험	1
경험치	1
곁	1
계속	1
계열	1
계정	23
고객	2
고급	1
고민	1
고생	3
고요	1
고질	1
골드만	1
곳	2
공	1
공간	2
공감	1
공격	2
공유	3
공중	1
과금	75
과정	1
관리	2
관리자	1
관심	1
광고	1
광범위	1
괘	1
교대근무	1
구경	1
구글	2
구래	1
구매	2
구분	1
구실	1
구여	1
구요	1
구이	1
국	1
굳	10
굴	1
굿	55
굿모닝	1
궁수	1
규모	1
그	3
그거	2
그것	1
그래픽	14
극악	7
근무	1
글	6
금	1
기	2
기가	3
기기	2
기능	1
기대	2
기록	1
기면	1
기본	4
기분	2
기존	2
기준	1
긴급	1
긴말	1
길드	3
김	1
깡패	1
꿀	8
끝	4
나	19
나라	1
나머지	1
날	1
남	6
남편	1
내	10
내요	3
내용	1
내장	1
냉무	1
너	2
너부	2
네트워크	2
노	4
노가다	3
노트북	2
뉴	1
뉴비	1
느	1
느낌	1
능력	2
늬	1
니	2
님	1
다수	1
다야	4
다운	4
다운로드	6
다음	10
다이아	7
다행	1
단계	1
단순	1
달	3
달성	1
답	4
답변	6
답장	1
당신	1
대기	2
대다수	1
대박	1
대비	1
대우	1
대조	1
대체	1
댐	1
덕분	2
던전	8
덤	2
데이터	2
데이트	1
도감	1
도박	2
도용	2
독설	1
돈	17
돈독	1
돌리	1
동내	1
동네	1
동도	1
동물	1
동반	1
동안	2
동영상	2
뒤	3
드	4
드롭	1
드립	1
득템	2
듬	2
등급	1
디	1
딘	2
따구	1
때	19
똥구멍	1
뚱	1
뜸	2
뜻	1
띠	1
라이징	1
라이트	1
라인	2
랍	5
랙	1
랩	1
랭	1
랭킹	1
러시	1
런	1
레벨	8
렙	5
렙업	2
려고	1
로그인	19
롤플레잉	1
롱	1
룬	1
리니	2
리니지	17
리뷰	8
리세	6
리얼	1
린지	1
림	1
링	1
마다	1
마라	2
마을	9
마음	4
마이너스	1
마카	1
마켓	1
만족	2
말	9
맘	3
맛	4
망	5
맞음	2
매너	2
매도	1
매주	1
매칭	2
매크로	2
맥북	2
맨	1
머	1
머들	1
먹	1
먹통	1
메가	1
메모리	2
메일	1
멘탈	1
명목	2
모드	9
모바일	6
모바일게임	3
모션	1
모야	1
모양	1
모험	1
목록	1
몬스터	4
몸주	1
몹	2
뫼비우스	1
무능력자	1
무분별	1
무소	4
무엇	1
무지	1
무한	1
문	2
문구	1
문의	1
문제	4
물	1
물약	2
뭐	9
미션	2
밋	14
밑	2
바	1
바닥	1
바람	2
바래	1
바램	1
박스	1
밖	2
반	1
반복	9
반타작	1
발생	1
발언	1
발전	1
발할라	2
밤	1
방법	4
방송	1
방어구	1
방치	4
배	1
배신감	1
배터리	1
뱜	1
버	1
버그	7
버러지	1
버전	1
버튼	4
번창	1
번호	4
범위	5
법	1
베	1
베리	1
벤	2
벽	1
변경	1
변신	2
변질	1
별	3
병	1
병신	2
보급	2
보네	1
보단	1
보살	1
보상	3
보스	13
보안	4
보통	1
보호	12
보호조	2
복	1
복구	2
복귀	2
본인	5
봄	2
부과금	1
부담	1
부분	2
부족	6
부탁	8
부팅	1
북강	1
분리	1
불가	6
불법	1
불편	3
브	1
브롤	2
블릿	1
비교	1
비밀	1
비번	3
비자카드	1
비추	1
비하	1
빌란트	7
사거리	1
사내	1
사냥	8
사냥터	1
사람	13
사랑	2
사막	1
사무실	1
사용	11
사이	1
사장	1
사정거리	1
사항	1
사흘	1
삭제	15
산화	1
살짝	1
삶	1
삼실	2
상위	2
상자	1
상장	1
상태	1
상품	2
새댁	1
새벽	2
새해	1
생각	14
서류	1
서민	1
서버	8
서브	5
서요	1
선물	1
설명	2
설정	5
설치	4
섭	1
성격	1
성의	1
성장	1
세나	1
세요	1
세인트	1
세트	5
센터	1
셈	2
션	2
소과	1
소리	1
소모	1
소문	1
소소	3
소중	2
소통	1
속	3
속지	1
속출	1
손	1
솔	1
송년	1
수	1
수고	1
수급	2
수상	1
수요일	3
수정	2
수준	5
숙제	1
순식간	1
숩	1
쉐	1
쉬	1
스	1
스나	1
스릴	1
스마트	1
스크린	1
스킬	5
스타즈	2
스토리	4
스토어	4
스톨	2
스트레스	2
스팀	1
스팸	1
스펙	3
스펠	1
스피드	1
슬롯	1
승	1
시	2
시간	15
시간대	1
시기	1
시대	1
시스템	12
시야	2
시일	1
시작	22
식	1
신	1
신경	1
신고	1
신규	5
신뢰	1
신박	1
신비	1
신용	2
신용카드	4
신청	1
실망	3
실제	2
실종	1
실패	2
실행	6
쌀	1
쌈	1
쌤	1
써	1
쎄	1
쏘	1
쓰레기	10
씨	2
아무것	4
아바	1
아바타	16
아빠	1
아웃풋	1
아이디	8
아이디어	1
아이콘	1
아이템	8
아이패드	6
아이폰	6
아트	1
안녕	2
안함	1
알	1
알람	1
압	1
앞	1
앞마당	1
애서	1
애정	1
애초	1
액션	1
앰	1
앱	8
야	2
야간	1
약간	1
어디	3
어려움	1
어제	1
언니	1
언제	1
엄두	1
업	21
업그레이드	1
업데이트	67
엔	2
엘	1
엘사	1
여	2
여기	1
여러분	1
여유	1
역시	1
연동	4
연령	1
연말	1
연속	1
연장	1
연초	1
열	1
열등	1
영구	5
영웅	7
옆	2
옆집	2
예기	2
예상	2
예전	2
오늘	4
오딘	34
오랜만	2
오류	12
오민	1
오오	1
오전	1
오토	5
오픈	3
오후	1
옵션	2
옹	1
와이파이	3
왕	1
왜정	1
외장	1
외형	1
요금제	1
요소	1
요약	1
요즘	4
요진	1
요청	1
욕	2
욕설	1
욕심	2
욕지거리	1
용돈	1
용량	10
우왕	2
우울	2
우편	3
욱기	1
운	2
운영	14
울트라	1
워프	1
원본	1
월급	1
월급쟁이	1
월드	1
월보	1
위	3
유	1
유과	1
유도	15
유료	1
유물	4
유사	1
유일	1
유저	21
음	3
응원	1
의뢰	3
의문	2
의심	5
이	3
이거	8
이것	1
이것저것	1
이기	1
이동	5
이동해	1
이둔	1
이드	1
이따위	3
이번	6
이벤트	3
이상	12
이슈	1
이야기	2
이온	2
이용	2
이용자	1
이유	6
이제	1
이타	1
이태이	1
이틀	2
이해	2
이후	3
인	2
인간	3
인내심	1
인벤	3
인생	2
인임	1
인정	3
인증	23
일	8
일반	3
일치	2
임	2
임시	2
입력	1
입장	2
자기	3
자동	9
자본	2
자분	2
자신	1
자체	1
작	1
작년	1
작업	1
작업장	7
잠수함	1
장	1
장난	3
장비	2
장소	1
장착	1
재료	4
재미	24
재이	1
잼	41
쟈	2
저	4
적정	1
전	3
전부	1
전설	8
전전긍긍	1
전체	9
전통	1
전화	5
절반	1
절차	1
점	3
점검	19
점수	1
점프	1
접근	1
접속	16
접속사	1
접송	1
접안	1
정	1
정도	14
정두	2
정리	2
정보	10
정상	5
정석	1
정성	1
정이	1
정지	9
정치	1
제	1
제거	3
제미	1
제발	1
제일	1
제작	2
제재	1
져	1
젼	1
조	2
조건	1
조금	1
조니	1
조심	1
조아	2
조작	2
조절	1
조점	1
조정	3
조치	20
족속	1
존	2
존재	1
종	1
종료	1
죄고	1
죄책감	1
주	1
주변	1
주세요	3
주식	1
주인	1
주작	1
죽음	1
줄	1
중간	1
중독	4
중반	1
중복	1
중요	1
쥬얼	1
즈	1
증	1
증상	1
지	1
지갑	4
지금	3
지류	1
지미	1
지붕	3
지원	2
지인	1
지존	1
직업	1
직장인	2
진심	1
진입	1
진짜	1
진행	9
진행형	1
짐	2
집	3
집중	1
짜개	1
짜증	21
짱	3
차	1
차단	1
차면	1
차원	1
차이	2
찬밥	1
찰나	1
참	2
참여	2
창	6
창고	1
창작	1
챕터	2
챠	1
처	2
처리	2
처음	6
체크카드	2
초기	2
초반	4
초심	2
최고	5
최근	1
최상급	2
최소한	1
최신	1
최악	2
최적화	1
추가	7
추락	1
추자	1
추천	3
출근	1
출석	1
출시	2
출퇴근	1
취미	1
취소	2
취약	4
층	1
치킨	1
친구	2
카	1
카드	10
카오	1
카카오	12
카카오톡	2
카톡	4
캐릭	14
캐릭터	11
캐쉬	1
캐시	2
컨	1
컨텐츠	6
컴퓨터	1
케릭	4
코	1
코드	1
코멘트	1
콘텐츠	1
퀘	6
퀘스트	6
크리스마스	1
클	2
클래스	1
타격	5
타임	1
탈것	4
탈퇴	1
탓	1
태	1
탬	2
탭	1
터	1
터치	2
턱	1
털	1
테	1
텐츠	1
템	7
토르	1
통신사	1
통제	5
통합	1
퇴출	1
투력	3
투자	5
툰	1
튜토리얼	1
트	3
트리	1
특이	1
특정	1
틀	1
티	3
티르	1
티어	1
팅기	2
파	2
파괴	1
파란색	1
파밍	1
파티	2
판정	1
판치	1
판타스틱	1
팔라딘	1
팝업	1
팡이	1
패	1
패스	1
패치	4
패키지	1
퍼	2
퍼센트	1
페미	1
평가	1
평소	1
평점	3
평타	1
포	2
포기	1
포장	2
포탈	1
폰	12
표시	3
풀리지	1
프로	2
프로그램	1
플	3
플레이	20
플릿	1
피	1
피지	1
피통	1
피해	2
필수	1
필요	10
하네	1
하노	1
하루	5
하임	2
하재	1
한계	1
한마디	1
한참	1
할만	7
합	1
합법	1
해결	10
해임	1
해제	8
핵	4
핸드폰	5
허구	1
허탈	1
헛날	1
헬	1
현상	1
현세	1
현실	2
현제	1
현존	1
현질	29
혈	1
형	1
혜자	2
호구	1
화면	6
화이	1
화질	3
확률	18
확신	1
확인	5
환불	6
회복	1
회사	5
회원	2
회피	2
획득	2
횟수	1
횡포	1
후	4
후기	1
후반부	1
휴대폰	1
흥	2
힘	3
